Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m^3/hr),Day of the Week
2016/1/1,2789,11.11111111,1.111111111,57.5,48.3365269,0,1824.643328,Friday
2016/1/2,3554,11.66666667,2.222222222,59,48.3365269,0,1883.771432,Saturday
2016/1/3,3554,12.22222222,3.333333333,58.5,48.2641066,0,1802.157993,Sunday
2016/1/4,3554,11.11111111,3.888888889,66,48.2480132,0,1810.485895,Monday
2016/1/5,3554,12.77777778,5.555555556,62,48.360667,0,1859.620517,Tuesday
2016/1/6,3554,7.777777778,4.444444444,80,48.199733,0,1708.0527,Wednesday
2016/1/7,2789,6.666666667,3.888888889,85.5,48.4572274,0,1708.88549,Thursday
2016/1/8,2789,6.666666667,1.111111111,68.5,48.5457411,0,1717.213392,Friday
2016/1/9,3554,7.777777778,1.666666667,66,48.4974609,0,1771.344755,Saturday
2016/1/10,3554,7.777777778,2.222222222,67.5,48.5457411,0,1776.795746,Sunday
2016/1/11,3554,8.888888889,1.666666667,64.5,48.4974609,0,1969.548823,Monday
2016/1/12,3554,8.888888889,0.555555556,62,48.4250406,0,1971.214403,Tuesday
2016/1/13,3554,10,0.555555556,52.5,48.4491807,0,1786.334979,Wednesday
2016/1/14,2789,9.444444444,2.222222222,63,48.3123868,0,1769.679175,Thursday
2016/1/15,2789,8.888888889,7.777777778,91,48.1031726,0,1828.807279,Friday
2016/1/16,3554,11.11111111,7.777777778,79.5,48.0307523,0,2017.185074,Saturday
2016/1/17,3554,10,5.555555556,79.5,48.1273127,0,1835.469601,Sunday
2016/1/18,3554,8.888888889,5,74,48.0307523,0,1658.085288,Monday
2016/1/19,3554,11.11111111,2.777777778,59.5,48.2721533,0,1834.636811,Tuesday
2016/1/20,3554,7.222222222,1.666666667,67,48.3848071,0,1572.307898,Wednesday
2016/1/21,2789,7.777777778,1.111111111,67,48.3848071,0,1588.963702,Thursday
2016/1/22,2789,8.888888889,3.333333333,69,48.360667,0,1594.793233,Friday
2016/1/23,3554,12.22222222,4.444444444,59,48.4250406,0,1663.082029,Saturday
2016/1/24,3554,11.11111111,3.888888889,65,48.3123868,0,1740.531518,Sunday
2016/1/25,3554,12.22222222,3.888888889,59.5,48.3123868,0,1680.570624,Monday
2016/1/26,3554,10,1.666666667,57,48.4089472,0,1732.203616,Tuesday
2016/1/27,3554,11.11111111,1.666666667,57.5,48.2882467,0,1732.203616,Wednesday
2016/1/28,2789,11.11111111,1.666666667,57.5,48.3123868,0,1618.111359,Thursday
2016/1/29,2789,11.11111111,0,55.5,48.4491807,0,1552.320933,Friday
2016/1/30,3554,11.66666667,0,54,48.4089472,0,1656.419708,Saturday
2016/1/31,3554,14.44444444,0.555555556,43.5,48.4733208,0,1562.314415,Sunday
2016/2/1,3554,12.22222222,1.666666667,55.5,48.4974609,0,1538.99629,Monday
