Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m^3/hr),Day of the Week
2016-01-01,2789,11.11111111,1.111111111,57.5,48.3365269,0.0,2024.643328,Friday
2016-01-02,3554,11.66666667,2.222222222,59.0,48.3365269,0.0,2083.771432,Saturday
2016-01-03,3554,12.22222222,3.333333333,58.5,48.2641066,0.0,2002.157993,Sunday
2016-01-04,3554,11.11111111,3.888888889,66.0,48.2480132,0.0,2010.485895,Monday
2016-01-05,3554,12.77777778,5.555555556,62.0,48.360667,0.0,2059.6205170000003,Tuesday
2016-01-06,3554,7.777777778,4.444444444,80.0,48.199733,0.0,1758.0527,Wednesday
2016-01-07,2789,6.666666667,3.888888889,85.5,48.4572274,0.0,1758.88549,Thursday
2016-01-08,2789,6.666666667,1.111111111,68.5,48.5457411,0.0,1767.213392,Friday
2016-01-09,3554,7.777777778,1.666666667,66.0,48.4974609,0.0,1971.344755,Saturday
2016-01-10,3554,7.777777778,2.222222222,67.5,48.5457411,0.0,1976.795746,Sunday
2016-01-11,3554,8.888888889,1.666666667,64.5,48.4974609,0.0,2169.548823,Monday
2016-01-12,3554,8.888888889,0.555555556,62.0,48.4250406,0.0,2171.214403,Tuesday
2016-01-13,3554,10.0,0.555555556,52.5,48.4491807,0.0,1986.334979,Wednesday
2016-01-14,2789,9.444444444,2.222222222,63.0,48.3123868,0.0,1969.679175,Thursday
2016-01-16,3554,11.11111111,7.777777778,79.5,48.0307523,0.0,2217.185074,Saturday
2016-01-17,3554,10.0,5.555555556,79.5,48.1273127,0.0,2035.469601,Sunday
2016-01-18,3554,8.888888889,5.0,74.0,48.0307523,0.0,1708.085288,Monday
2016-01-19,3554,11.11111111,2.777777778,59.5,48.2721533,0.0,2034.636811,Tuesday
2016-01-20,3554,7.222222222,1.666666667,67.0,48.3848071,0.0,1622.307898,Wednesday
2016-01-21,2789,7.777777778,1.111111111,67.0,48.3848071,0.0,1638.963702,Thursday
2016-01-22,2789,8.888888889,3.333333333,69.0,48.360667,0.0,1644.793233,Friday
2016-01-23,3554,12.22222222,4.444444444,59.0,48.4250406,0.0,1713.082029,Saturday
2016-01-24,3554,11.11111111,3.888888889,65.0,48.3123868,0.0,1790.531518,Sunday
2016-01-25,3554,12.22222222,3.888888889,59.5,48.3123868,0.0,1730.570624,Monday
2016-01-26,3554,10.0,1.666666667,57.0,48.4089472,0.0,1782.203616,Tuesday
2016-01-27,3554,11.11111111,1.666666667,57.5,48.2882467,0.0,1782.203616,Wednesday
2016-01-28,2789,11.11111111,1.666666667,57.5,48.3123868,0.0,1668.111359,Thursday
2016-01-29,2789,11.11111111,0.0,55.5,48.4491807,0.0,1602.320933,Friday
2016-01-30,3554,11.66666667,0.0,54.0,48.4089472,0.0,1706.419708,Saturday
2016-01-31,3554,14.44444444,0.555555556,43.5,48.4733208,0.0,1612.314415,Sunday
2016-02-01,3554,12.22222222,1.666666667,55.5,48.4974609,0.0,1588.99629,Monday
2016-02-02,3554,12.22222222,2.777777778,55.5,48.4089472,0.0,1521.540283,Tuesday
2016-02-03,3554,12.22222222,6.111111111,67.5,48.4974609,0.0,1623.973478,Wednesday
2016-02-05,2789,10.55555556,6.111111111,76.0,48.4491807,0.0,1641.462072,Friday
2016-02-06,3554,10.0,3.333333333,69.5,48.3848071,0.0,1369.139677,Saturday
2016-02-07,3554,8.888888889,-1.111111111,58.0,48.2238731,0.0,894.3514988,Sunday
2016-02-08,3554,8.888888889,-0.555555556,58.0,48.2399665,0.0,1458.248228,Monday
2016-02-09,3554,8.888888889,-0.555555556,57.0,48.3848071,0.0,1399.952914,Tuesday
2016-02-10,3554,10.0,0.0,54.0,48.3365269,0.0,1793.029889,Wednesday
2016-02-11,2789,11.11111111,3.333333333,61.0,48.2882467,0.0,1773.875714,Thursday
2016-02-12,2789,10.0,5.0,57.5,48.3123868,0.0,1993.830091,Friday
2016-02-14,3554,8.888888889,2.777777778,66.0,48.360667,0.0,2028.807279,Sunday
2016-02-15,3554,8.888888889,1.666666667,64.5,48.2641066,0.0,1773.951422,Monday
2016-02-16,3554,11.11111111,1.111111111,55.5,48.3123868,0.0,1564.845374,Tuesday
2016-02-17,3554,11.11111111,1.666666667,57.0,48.4491807,0.0,1105.88021,Wednesday
2016-02-18,2789,12.22222222,2.777777778,55.0,48.4089472,0.0,1002.614225,Thursday
2016-02-19,2789,11.66666667,5.555555556,65.0,48.3365269,0.0,1154.711999,Friday
2016-02-20,3554,12.22222222,8.333333333,74.5,48.1755929,0.0,1668.376337,Saturday
2016-02-21,3554,14.44444444,8.333333333,69.5,48.0548924,0.0,1406.766652,Sunday
2016-02-22,3554,13.88888889,3.333333333,56.0,48.1031726,0.0,1447.308393,Monday
2016-02-23,3554,7.222222222,0.0,58.0,48.1755929,0.0,1367.625513,Tuesday
2016-02-24,3554,8.333333333,-0.555555556,59.0,42.0,0.0,1369.63178,Wednesday
2016-02-25,2789,12.22222222,-1.111111111,45.0,48.2238731,0.0,1390.413681,Thursday
2016-02-26,2789,12.77777778,0.555555556,50.0,48.199733,0.0,1473.768409,Friday
2016-02-27,3554,17.77777778,3.333333333,41.5,48.0790325,0.0,1726.330964,Saturday
2016-02-28,3554,16.66666667,4.444444444,48.0,47.8859117,0.0,1535.167759,Sunday
2016-03-01,3554,15.55555556,3.333333333,48.0,48.0307523,0.0,944.3189110000001,Tuesday
2016-03-02,3554,16.66666667,1.666666667,46.0,48.0066122,0.0,1401.694203,Wednesday
2016-03-03,2789,11.11111111,3.888888889,62.5,47.958332,0.0,1138.359027,Thursday
2016-03-04,2789,16.66666667,12.22222222,80.5,47.8376315,0.0,1417.441508,Friday
2016-03-05,3554,17.77777778,9.444444444,60.5,47.8617716,0.0,1429.100571,Saturday
2016-03-06,3554,16.66666667,5.0,55.0,47.9100518,0.0,1178.332957,Sunday
2016-03-07,3554,15.55555556,2.222222222,45.5,47.7652112,0.0,1537.363297,Monday
2016-03-08,3554,16.11111111,3.888888889,46.0,47.9100518,0.0,1521.540283,Tuesday
2016-03-09,3554,13.33333333,3.333333333,54.0,48.0790325,0.0,1120.037643,Wednesday
2016-03-10,2789,14.44444444,1.666666667,44.5,48.1514528,0.0,1101.716259,Thursday
2016-03-12,3554,15.55555556,2.777777778,47.5,48.2641066,0.0,1412.444767,Saturday
2016-03-13,3554,12.77777778,6.666666667,71.5,48.3365269,0.0,1429.100571,Sunday
2016-03-14,3554,14.44444444,5.0,57.5,48.3848071,0.0,1409.870688,Monday
2016-03-15,3554,16.66666667,3.333333333,49.0,48.2480132,0.0,1416.608718,Tuesday
2016-03-16,3554,20.0,6.111111111,45.5,48.1755929,0.0,1062.347995,Wednesday
2016-03-17,2789,20.0,7.222222222,45.5,48.1031726,0.0,980.9616799999999,Thursday
2016-03-18,2789,22.22222222,10.0,51.5,48.1273127,0.0,1025.93235,Friday
2016-03-19,3554,22.77777778,11.66666667,48.5,47.8859117,0.0,1375.499166,Saturday
2016-03-20,3554,16.66666667,1.111111111,53.0,47.9824721,0.0,1454.349256,Sunday
2016-03-21,3554,16.66666667,1.111111111,41.5,48.2238731,0.0,1441.743841,Monday
2016-03-22,3554,17.77777778,4.444444444,49.0,48.4330873,0.0,1140.97096,Tuesday
2016-03-23,3554,21.11111111,6.111111111,46.0,48.2721533,0.0,1063.559326,Wednesday
2016-03-24,2789,22.22222222,6.111111111,38.0,48.2882467,0.0,1073.060705,Thursday
2016-03-25,2789,20.0,8.888888889,50.5,48.199733,0.0,1107.167249,Friday
2016-03-26,3554,21.11111111,10.55555556,57.0,48.2480132,0.0,1024.796727,Saturday
2016-03-27,3554,20.0,8.333333333,53.0,48.3123868,0.0,1116.630774,Sunday
2016-03-28,3554,21.11111111,8.333333333,47.5,48.4250406,0.0,1112.845364,Monday
2016-03-29,3554,22.77777778,8.333333333,48.0,48.2399665,0.0,1179.165747,Tuesday
2016-03-30,3554,23.88888889,8.333333333,43.5,48.0066122,0.0,1364.142936,Wednesday
2016-03-31,2789,23.33333333,11.66666667,46.5,48.1755929,0.0,1361.644565,Thursday
2016-04-01,2789,25.55555556,11.11111111,45.0,48.199733,0.0,1194.155971,Friday
2016-04-02,3554,26.11111111,12.22222222,42.5,48.2238731,0.0,1193.323181,Saturday
2016-04-03,3554,25.55555556,11.66666667,46.5,48.2641066,0.0,1183.329698,Sunday
2016-04-04,3554,26.66666667,10.0,41.0,48.1273127,0.0,937.6565889999999,Monday
2016-04-05,3554,25.55555556,8.333333333,37.0,48.0066122,0.0,1154.284247,Tuesday
2016-04-06,3554,25.55555556,9.444444444,40.0,48.0066122,0.0,933.4926379999999,Wednesday
2016-04-07,2789,25.55555556,10.0,41.0,47.9824721,0.0,913.505673,Thursday
2016-04-08,2789,25.55555556,10.55555556,42.0,47.9824721,0.0,927.6631070000001,Friday
2016-04-09,3554,26.66666667,11.66666667,37.0,47.958332,0.0,924.331946,Saturday
2016-04-10,3554,23.88888889,13.88888889,60.0,47.9341919,0.0,910.174513,Sunday
2016-04-11,3554,22.22222222,12.22222222,53.0,47.958332,0.0,949.315652,Monday
2016-04-12,3554,21.66666667,12.22222222,52.5,47.9663787,0.0,1389.126642,Tuesday
2016-04-13,3554,23.88888889,8.333333333,38.5,48.0227056,0.0,1382.46432,Wednesday
2016-04-14,2789,23.33333333,8.888888889,43.5,48.1434061,0.0,1384.962691,Thursday
2016-04-15,2789,22.77777778,9.444444444,42.0,48.0951259,0.0,1389.126642,Friday
2016-04-16,3554,24.44444444,12.22222222,50.0,48.0468457,0.08,1353.316663,Saturday
2016-04-17,3554,23.88888889,12.22222222,47.5,47.8939584,0.0,1189.99202,Sunday
2016-04-18,3554,25.0,12.77777778,44.0,47.877865,0.0,1423.27104,Monday
2016-04-19,3554,25.55555556,12.77777778,46.5,48.0146589,0.12,1354.982243,Tuesday
2016-04-20,3554,26.66666667,15.0,54.5,48.0629391,0.24,1183.329698,Wednesday
2016-04-21,2789,24.44444444,15.55555556,59.0,48.1434061,0.24,1198.319922,Thursday
2016-04-22,2789,22.22222222,13.88888889,66.0,47.958332,0.12,1050.083266,Friday
2016-04-23,3554,23.33333333,13.88888889,60.0,47.877865,0.24,1070.070231,Saturday
2016-04-24,3554,24.44444444,13.88888889,53.5,47.9100518,0.0,1358.313404,Sunday
2016-04-25,3554,20.55555556,13.33333333,67.0,47.9905188,0.0,1025.93235,Monday
2016-04-26,3554,23.33333333,14.44444444,52.0,48.0870792,0.0,1084.227664,Tuesday
2016-04-27,3554,23.88888889,14.44444444,55.5,47.958332,0.0,1161.677153,Wednesday
2016-04-28,2789,23.88888889,14.44444444,55.0,47.877865,0.0,1145.854139,Thursday
2016-04-29,2789,24.44444444,12.77777778,54.5,47.8376315,0.0,1170.005055,Friday
2016-04-30,3554,22.77777778,12.22222222,54.0,47.8859117,0.12,1165.841104,Saturday
2016-05-01,3554,22.22222222,10.55555556,52.5,47.9824721,0.0,1049.553309,Sunday
2016-05-02,3554,22.22222222,9.444444444,47.0,47.9905188,0.0,1168.339475,Monday
2016-05-03,3554,25.55555556,10.55555556,42.5,47.8376315,0.0,1102.549049,Tuesday
2016-05-04,3554,26.66666667,10.0,38.5,47.6847442,0.0,1054.247217,Wednesday
2016-05-05,2789,26.66666667,11.66666667,39.5,47.8537249,0.0,952.6468130000001,Thursday
2016-05-06,2789,30.0,14.44444444,37.0,47.9663787,0.0,1071.735811,Friday
2016-05-07,3554,26.66666667,14.44444444,43.5,47.877865,0.0,1082.562084,Saturday
2016-05-08,3554,28.33333333,12.77777778,41.0,47.8376315,0.0,1034.260252,Sunday
2016-05-09,3554,30.0,11.11111111,30.0,47.9020051,0.0,1031.761882,Monday
2016-05-10,3554,30.0,13.88888889,40.0,47.9100518,0.0,1054.247217,Tuesday
2016-05-11,3554,28.33333333,13.33333333,45.0,47.8376315,0.0,1073.401392,Wednesday
2016-05-12,2789,27.77777778,12.22222222,39.5,47.8054447,0.0,1057.578378,Thursday
2016-05-13,2789,26.66666667,11.66666667,41.0,47.8859117,0.0,1052.581637,Friday
2016-05-14,3554,28.88888889,9.444444444,31.5,47.7410711,0.0,947.6500719999999,Saturday
2016-05-15,3554,30.0,10.0,28.5,47.7571645,0.0,1039.256994,Sunday
2016-05-16,3554,28.88888889,11.66666667,39.0,47.716931,0.0,1035.925833,Monday
2016-05-17,3554,30.0,12.77777778,34.5,47.6847442,0.0,1083.394874,Tuesday
2016-05-18,3554,30.0,10.55555556,29.0,47.8215381,0.0,1006.778176,Wednesday
2016-05-19,2789,30.0,8.888888889,29.5,47.8537249,0.0,1036.001541,Thursday
2016-05-20,2789,26.66666667,10.0,32.0,47.8617716,0.08,1032.594672,Friday
2016-05-21,3554,28.33333333,11.11111111,37.0,47.7732579,0.0,1132.529496,Saturday
2016-05-22,3554,30.0,10.0,28.0,47.8134914,0.0,1085.893245,Sunday
