Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m^3/hr),Day of the Week
2016-01-01,2789,11.11111111,1.111111111,57.5,48.3365269,0.0,1824.643328,Friday
2016-01-02,3554,11.66666667,2.222222222,59.0,48.3365269,0.0,1883.771432,Saturday
2016-01-03,3554,12.22222222,3.333333333,58.5,48.2641066,0.0,1802.157993,Sunday
2016-01-04,3554,11.11111111,3.888888889,66.0,48.2480132,0.0,1810.485895,Monday
2016-01-05,3554,12.77777778,5.555555556,62.0,48.360667,0.0,1859.620517,Tuesday
2016-01-06,3554,7.777777778,4.444444444,80.0,48.199733,0.0,1708.0527,Wednesday
2016-01-07,2789,6.666666667,3.888888889,85.5,48.4572274,0.0,1708.88549,Thursday
2016-01-08,2789,6.666666667,1.111111111,68.5,48.5457411,0.0,1717.213392,Friday
2016-01-09,3554,7.777777778,1.666666667,66.0,48.4974609,0.0,1771.344755,Saturday
2016-01-10,3554,7.777777778,2.222222222,67.5,48.5457411,0.0,1776.795746,Sunday
2016-01-11,3554,8.888888889,1.666666667,64.5,48.4974609,0.0,1969.548823,Monday
2016-01-12,3554,8.888888889,0.555555556,62.0,48.4250406,0.0,1971.214403,Tuesday
2016-01-13,3554,10.0,0.555555556,52.5,48.4491807,0.0,1786.334979,Wednesday
2016-01-14,2789,9.444444444,2.222222222,63.0,48.3123868,0.0,1769.679175,Thursday
2016-01-15,2789,8.888888889,7.777777778,91.0,48.1031726,0.0,1828.807279,Friday
2016-01-16,3554,11.11111111,7.777777778,79.5,48.0307523,0.0,2017.185074,Saturday
2016-01-17,3554,10.0,5.555555556,79.5,48.1273127,0.0,1835.469601,Sunday
2016-01-18,3554,8.888888889,5.0,74.0,48.0307523,0.0,1658.085288,Monday
2016-01-19,3554,11.11111111,2.777777778,59.5,48.2721533,0.0,1834.636811,Tuesday
2016-01-20,3554,7.222222222,1.666666667,67.0,48.3848071,0.0,1572.307898,Wednesday
2016-01-21,2789,7.777777778,1.111111111,67.0,48.3848071,0.0,1588.963702,Thursday
2016-01-22,2789,8.888888889,3.333333333,69.0,48.360667,0.0,1594.793233,Friday
2016-01-23,3554,12.22222222,4.444444444,59.0,48.4250406,0.0,1663.082029,Saturday
2016-01-24,3554,11.11111111,3.888888889,65.0,48.3123868,0.0,1740.531518,Sunday
2016-01-25,3554,12.22222222,3.888888889,59.5,48.3123868,0.0,1680.570624,Monday
2016-01-26,3554,10.0,1.666666667,57.0,48.4089472,0.0,1732.203616,Tuesday
2016-01-27,3554,11.11111111,1.666666667,57.5,48.2882467,0.0,1732.203616,Wednesday
2016-01-28,2789,11.11111111,1.666666667,57.5,48.3123868,0.0,1618.111359,Thursday
2016-01-29,2789,11.11111111,0.0,55.5,48.4491807,0.0,1552.320933,Friday
2016-01-30,3554,11.66666667,0.0,54.0,48.4089472,0.0,1656.419708,Saturday
2016-01-31,3554,14.44444444,0.555555556,43.5,48.4733208,0.0,1562.314415,Sunday
2016-02-01,3554,12.22222222,1.666666667,55.5,48.4974609,0.0,1538.99629,Monday
2016-02-02,3554,12.22222222,2.777777778,55.5,48.4089472,0.0,1471.540283,Tuesday
2016-02-03,3554,12.22222222,6.111111111,67.5,48.4974609,0.0,1573.973478,Wednesday
2016-02-04,2789,8.888888889,7.777777778,90.5,48.360667,0.0,1564.812786,Thursday
2016-02-05,2789,10.55555556,6.111111111,76.0,48.4491807,0.0,1591.462072,Friday
2016-02-06,3554,10.0,3.333333333,69.5,48.3848071,0.0,1319.139677,Saturday
2016-02-07,3554,8.888888889,-1.111111111,58.0,48.2238731,0.0,994.3514988,Sunday
2016-02-08,3554,8.888888889,-0.555555556,58.0,48.2399665,0.0,1408.248228,Monday
2016-02-09,3554,8.888888889,-0.555555556,57.0,48.3848071,0.0,1349.952914,Tuesday
2016-02-10,3554,10.0,0.0,54.0,48.3365269,0.0,1743.029889,Wednesday
2016-02-11,2789,11.11111111,3.333333333,61.0,48.2882467,0.0,1723.875714,Thursday
2016-02-12,2789,10.0,5.0,57.5,48.3123868,0.0,1793.830091,Friday
2016-02-13,3554,8.888888889,7.222222222,91.0,48.199733,0.0,1708.0527,Saturday
2016-02-14,3554,8.888888889,2.777777778,66.0,48.360667,0.0,1828.807279,Sunday
2016-02-15,3554,8.888888889,1.666666667,64.5,48.2641066,0.0,1723.951422,Monday
2016-02-16,3554,11.11111111,1.111111111,55.5,48.3123868,0.0,1514.845374,Tuesday
2016-02-17,3554,11.11111111,1.666666667,57.0,48.4491807,0.0,1205.88021,Wednesday
2016-02-18,2789,12.22222222,2.777777778,55.0,48.4089472,0.0,1102.614225,Thursday
2016-02-19,2789,11.66666667,5.555555556,65.0,48.3365269,0.0,1254.711999,Friday
2016-02-20,3554,12.22222222,8.333333333,74.5,48.1755929,0.0,1618.376337,Saturday
2016-02-21,3554,14.44444444,8.333333333,69.5,48.0548924,0.0,1356.766652,Sunday
2016-02-22,3554,13.88888889,3.333333333,56.0,48.1031726,0.0,1397.308393,Monday
2016-02-23,3554,7.222222222,0.0,58.0,48.1755929,0.0,1317.625513,Tuesday
2016-02-24,3554,8.333333333,-0.555555556,59.0,42.0,0.0,1319.63178,Wednesday
2016-02-25,2789,12.22222222,-1.111111111,45.0,48.2238731,0.0,1340.413681,Thursday
2016-02-26,2789,12.77777778,0.555555556,50.0,48.199733,0.0,1423.768409,Friday
2016-02-27,3554,17.77777778,3.333333333,41.5,48.0790325,0.0,1676.330964,Saturday
2016-02-28,3554,16.66666667,4.444444444,48.0,47.8859117,0.0,1485.167759,Sunday
2016-03-01,3554,15.55555556,3.333333333,48.0,48.0307523,0.0,1044.318911,Tuesday
2016-03-02,3554,16.66666667,1.666666667,46.0,48.0066122,0.0,1351.694203,Wednesday
2016-03-03,2789,11.11111111,3.888888889,62.5,47.958332,0.0,1238.359027,Thursday
2016-03-04,2789,16.66666667,12.22222222,80.5,47.8376315,0.0,1367.441508,Friday
2016-03-05,3554,17.77777778,9.444444444,60.5,47.8617716,0.0,1379.100571,Saturday
