Date,Population,T avg C,D.P avg C,humidity,Average wind speed(Kmh),Ppt avg (in),water consumption(m^3/hr),Day of the Week
2016/1/1,2789,11.11111111,1.111111111,57.5,48.3365269,0.0,2951.902629219337,Friday
2016/1/2,3554,11.66666667,2.222222222,59.0,48.3365269,0.0,2405.274509080069,Saturday
2016/1/3,3554,12.22222222,3.333333333,58.5,48.2641066,0.0,4593.232412499132,Sunday
2016/1/4,3554,11.11111111,3.888888889,66.0,48.2480132,0.0,2543.289541886776,Monday
2016/1/5,3554,12.77777778,5.555555556,62.0,48.360667,0.0,2750.969400702356,Tuesday
2016/1/6,3554,7.777777778,4.444444444,80.0,48.199733,0.0,1767.797899258134,Wednesday
2016/1/7,2789,6.666666667,3.888888889,85.5,48.4572274,0.0,2831.1931417838878,Thursday
2016/1/8,2789,6.666666667,1.111111111,68.5,48.5457411,0.0,3403.715227530888,Friday
2016/1/9,3554,7.777777778,1.666666667,66.0,48.4974609,0.0,4584.405699659676,Saturday
2016/1/10,3554,7.777777778,2.222222222,67.5,48.5457411,0.0,4106.751677079903,Sunday
2016/1/11,3554,8.888888889,1.666666667,64.5,48.4974609,0.0,4624.306439130538,Monday
2016/1/12,3554,8.888888889,0.555555556,62.0,48.4250406,0.0,4349.458928952514,Tuesday
2016/1/13,3554,10.0,0.555555556,52.5,48.4491807,0.0,5216.655223889023,Wednesday
2016/1/14,2789,9.444444444,2.222222222,63.0,48.3123868,0.0,2042.1480475584349,Thursday
2016/1/15,2789,8.888888889,7.777777778,91.0,48.1031726,0.0,3245.2562987268843,Friday
2016/1/16,3554,11.11111111,7.777777778,79.5,48.0307523,0.0,3111.062543568168,Saturday
2016/1/17,3554,10.0,5.555555556,79.5,48.1273127,0.0,3890.188714459922,Sunday
2016/1/18,3554,8.888888889,5.0,74.0,48.0307523,0.0,2946.643878074695,Monday
2016/1/19,3554,11.11111111,2.777777778,59.5,48.2721533,0.0,4294.030150457464,Tuesday
2016/1/20,3554,7.222222222,1.666666667,67.0,48.3848071,0.0,4711.859941076032,Wednesday
